NO.  date        time         lon    lat strike dip rake  strike dip rake depth Mw
072	20120728	13:09:12	104.84	28.41	310	68	97	111	23	73	12	3.6
073	20120822	19:04:18	100.10	27.62	298	39	-90	118	51	-90	10	3.9
074	20120825	16:52:49	104.83	28.39	120	32	-112	325	60	-76	12	3.5
075	20120907	11:58:03	104.10	27.55	240	52	147	351	64	42	12	4.1
076	20120907	12:06:01	103.98	27.51	354	68	49	240	45	148	5	3.9
077	20120907	13:12:45	104.01	27.54	280	85	169	10	79	5	12	4.2
078	20120908	19:47:27	104.00	27.57	249	70	18	152	73	159	16	3.8
079	20120913	05:15:02	103.99	27.56	90	59	176	182	86	31	7	3.9
080	20120918	17:37:48	103.98	27.50	148	80	16	55	74	169	7	4.0
081	20121017	08:19:43	101.69	30.22	53	90	168	143	78	0	24	3.7
082	20121019	10:44:15	102.86	30.14	46	81	-38	142	52	-168	14	3.9
083	20121114	19:42:53	102.52	26.48	287	84	-167	195	77	-6	13	4.6
084	20121115	20:52:18	100.31	27.33	321	47	-81	127	43	-99	14	3.7
085	20121209	23:23:19	103.98	27.49	221	49	108	14	44	70	5	3.7
086	20121213	02:58:23	102.75	27.04	126	49	-68	274	45	-113	4	4.6
087	20130207	22:57:19	104.13	28.05	351	62	15	253	76	151	14	4.0
088	20130218	16:14:19	101.97	29.94	52	67	-165	316	76	-23	30	3.8
089	20130219	10:47:02	103.10	27.10	8	75	12	274	78	164	12	4.6
090	20130219	15:55:33	104.95	28.35	83	56	138	199	56	42	10	4.2
091	20130219	16:25:40	104.82	28.30	189	42	52	55	58	119	8	3.6
092	20130222	05:43:39	100.80	26.73	209	73	7	116	83	162	14	4.7
093	20130309	20:23:56	103.50	31.40	319	48	-13	57	80	-137	12	4.1
094	20130420	09:11:53	102.83	30.25	71	43	180	161	90	47	16	4.8
095	20130420	09:20:10	102.99	30.17	17	48	75	218	44	106	10	4.6
096	20130420	09:37:29	102.99	30.28	210	31	128	347	66	69	12	4.8
097	20130420	09:39:34	102.86	30.13	216	47	99	22	43	80	8	4.6
098	20130420	10:19:05	102.92	30.33	11	37	46	241	64	117	22	4.2
099	20130420	11:40:22	102.86	30.14	140	31	9	42	85	120	26	3.9
100	20130421	18:48:24	103.00	30.30	270	23	171	8	86	67	14	3.9
101	20130425	06:10:30	104.95	28.40	190	71	41	84	51	155	5	4.3
102	20130425	06:12:51	104.95	28.45	178	63	143	286	57	32	10	4.2
103	20130426	02:21:02	103.08	27.38	162	83	-15	253	75	-172	9	3.8
104	20130507	03:45:01	104.87	28.35	140	49	18	37	76	137	12	3.5
105	20130512	10:52:29	103.46	27.80	141	76	-11	233	79	-165	9	3.8
106	20130517	22:37:45	100.10	29.10	68	59	-155	324	68	-33	8	4.4
107	20130717	02:01:34	104.89	28.34	360	52	120	136	46	57	12	3.3
108	20130823	14:23:43	104.85	28.32	220	47	76	60	44	104	10	3.8
109	20130825	11:40:47	101.93	29.92	81	61	-149	334	63	-32	30	3.8
110	20130831	19:16:37	102.84	27.88	80	77	169	172	79	13	7	3.6
111	20131014	11:18:58	102.79	27.98	172	75	-7	263	83	-164	8	4.7
112	20131015	22:46:15	102.78	27.96	102	82	161	194	71	8	7	3.8
113	20131116	23:36:38	103.00	26.30	7	83	11	275	79	172	10	4.5
114	20131122	03:41:25	101.40	27.91	267	90	-180	357	90	0	10	4.1
115	20131122	07:51:34	101.43	27.93	269	90	-180	359	90	0	10	3.7
116	20131208	23:01:00	101.42	27.92	0	90	2	270	88	180	10	4.0
117	20131229	08:29:10	101.98	29.86	332	80	-6	63	84	-169	30	4.0
118	20140104	02:11:43	101.37	27.93	134	90	-171	44	81	0	10	4.1
119	20140115	03:17:43	101.18	26.88	100	39	101	265	51	81	11	4.8
120	20140121	22:08:21	100.60	25.83	128	20	-98	316	70	-87	5	4.0
121	20140202	15:55:26	101.36	27.91	329	82	-167	237	77	-8	2	4.2
122	20140402	04:51:38	101.39	27.91	123	85	158	215	68	5	10	3.8
123	20140403	07:49:46	100.57	26.21	131	60	-99	328	31	-74	10	3.7
124	20140404	09:27:24	100.57	26.17	282	81	-150	186	60	-10	14	4.7
125	20140404	09:36:24	100.60	26.14	310	49	-114	164	46	-64	8	3.7
126	20140429	21:17:53	104.83	28.29	23	63	49	265	47	142	8	3.3
127	20140430	04:16:12	100.58	26.18	289	73	-140	185	52	-21	8	3.6
128	20140509	17:51:58	101.44	27.92	133	90	-180	223	90	0	10	4.0
129	20140513	22:45:25	100.01	30.79	331	90	3	241	87	180	6	3.8
130	20140625	08:03:12	101.43	27.93	318	43	-89	136	47	-90	6	4.0
131	20140711	19:56:42	103.09	29.64	20	58	120	152	42	51	18	3.4
132	20140711	21:01:29	104.81	29.39	190	36	-120	45	59	-70	10	3.4
133	20140714	17:51:39	101.43	27.90	32	83	0	302	90	173	10	3.9
134	20140726	21:26:18	100.50	25.88	17	76	2	286	88	165	5	4.0
135	20140731	12:33:42	100.48	25.87	142	58	-104	347	34	-68	5	4.0
136	20140803	19:07:19	103.38	27.09	280	81	33	184	57	169	8	3.9
137	20140803	21:47:10	103.39	27.05	22	59	78	224	33	109	5	3.9
138	20140803	22:28:30	103.34	27.10	79	90	-168	349	78	0	5	3.6
139	20140804	07:06:10	103.35	27.10	288	83	-155	194	65	-7	6	3.8
140	20140808	14:39:28	103.35	27.12	79	90	161	169	71	0	7	4.0
141	20140813	20:16:28	103.36	27.09	279	90	-166	189	76	0	9	3.9
142	20140817	06:18:36	103.50	28.11	342	71	163	77	73	19	8	3.8
143	20140821	12:11:02	100.50	25.88	282	38	-83	93	52	-95	12	4.7
144	20140825	07:10:09	100.62	25.97	0	82	-15	92	75	-171	18	4.0
145	20140910	16:59:29	103.37	27.11	259	49	28	149	69	135	8	3.9
146	20141001	01:44:17	104.81	28.32	200	31	68	45	61	102	10	3.6
147	20141008	05:14:05	102.92	30.14	29	68	83	227	23	106	22	4.2
148	20141027	00:02:29	103.32	27.11	269	78	18	175	72	167	10	4.0
149	20141103	01:12:59	103.31	27.11	181	71	-4	272	86	-160	5	3.7
