NO.   date        time        lon    lat   strike dip rake strike dip rake  dep Mw	
67	20130421	03:59:37	103.01	30.23	234	48	119 	 15	49	62  	10	5.0
68	20130421	09:05:23	103.00	30.32	35 	45	86  	221	45	94  	15	5.2
69	20130424	22:10:30	104.96	28.38	328	28	55  	186	68	107 	10	5.3
70	20131014	03:18:60	102.87	28.09	264	75	172 	356	82	15  	15	4.6
71	20131128	08:23:53	100.57	25.50	160	41	-71 	315	52	-106	10	4.9
72	20140404	22:40:35	103.62	28.17	360	45	45  	235	60	125 	24	5.4
73	20140507	14:11:45	102.07	25.55	356	72	-15 	 91	76	-162	28	4.9
74	20140803	08:30:13	103.41	27.19	71 	81	-175	340	86	-9  	12	6.2
75	20140816	22:07:59	103.55	28.12	317	78	5   	226	86	168 	10	5.0
76	20141001	01:23:29	102.79	28.40	254	66	169 	349	80	25  	 9	5.1 
77	20141122	08:55:26	101.74	30.34	143	85	-1  	233	89	-175	 9	5.9 
78	20141125	15:19:08	101.76	30.19	238	89	179	328 	89	  1 	 9	5.6
79	20150114	05:21:38	103.20	29.35	158	44	89 	340 	46	 91 	10	5.3
80	20150206	21:01:07	104.89	28.35	18 	40	79 	212 	51	 99 	10	5.0
81	20151028	20:12:09	100.30	27.55	203	45	103	  6 	46	 78 	10	4.7
82	20170127	18:46:36	104.83	28.18	352	41	47 	223 	61	121 	32	5.3
83	20170208	11:11:42	103.43	27.30	341	79	8  	250 	82	169 	10	4.9
84	20170312	12:21:23	103.57	27.20	337	74	-7 	 69 	83	-164	37	4.8
85	20170504	05:40:22	104.91	28.16	88 	75	179	178 	89	 15 	10	4.9

